Date,Month,FileOrigin,Description,Amount,Category
2024-07-01,2024-07,Monzo Nicholas Flex JulyOctober,Snappy Snaps Crouch En London        GBR,-4.0,Shopping
2024-07-01,2024-07,Monzo Nicholas Flex JulyOctober,CLOCKTOWER GREENS      LONDON        GBR,-4.99,activities
2024-07-01,2024-07,Amex Joint JulyOctober,M&S CHANCERY LANE       LONDON,-4.05,groceries
2024-07-01,2024-07,Amex Joint JulyOctober,WAITROSE CROUCH END     CROUCH END,-2.65,groceries
2024-07-02,2024-07,Monzo Nicholas Flex JulyOctober,Booking40528871684,-104.36,Holiday
2024-07-02,2024-07,Monzo Nicholas Flex JulyOctober,Booking40528871684,-1.2,Holiday
2024-07-02,2024-07,Monzo Joint July,Monthly Money Pot,75.0,Nothing
2024-07-02,2024-07,Amex Joint JulyOctober,AMZNMKTPLACE*WF7QV5KL5  AMAZON.CO.UK,-143.76,Shopping
2024-07-02,2024-07,Monzo Nicholas Flex JulyOctober,BATH POTTERS SUPPLIES  RADSTOCK      GBR,-98.26,Shopping
2024-07-02,2024-07,Amex Joint JulyOctober,AMAZON PRIME            AMZN.CO.UK/PM,4.5,Subscriptions
2024-07-02,2024-07,Amex Joint JulyOctober,AMAZON PRIME*5T40I6QG5  AMZN.CO.UK/PM,-8.99,Subscriptions
2024-07-02,2024-07,Amex Joint JulyOctober,LIME*PASS               LONDON,-36.99,Transportation
2024-07-02,2024-07,Amex Joint JulyOctober,LIME*RIDE               LONDON,-0.3,Transportation
2024-07-02,2024-07,Monzo Joint July,Nicholas Antoniades,-75.0,pay nicholas
2024-07-03,2024-07,Monzo Joint July,Monthly Money Pot,2100.0,Nothing
2024-07-03,2024-07,Monzo Joint July,Monthly Money Pot,60.0,Nothing
2024-07-03,2024-07,Monzo Joint July,1 Montenotte Rent,-2100.0,Rent
2024-07-03,2024-07,Monzo Joint July,Spotify                London        GBR,-19.99,Subscriptions
2024-07-03,2024-07,Amex Joint JulyOctober,OPENAI *CHATGPT SUBSCR  SAN FRANCISCO,-19.59,Subscriptions
2024-07-03,2024-07,Amex Joint JulyOctober,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,-3.7,Transportation
2024-07-03,2024-07,Monzo Joint July,Virgin Media,-28.83,Utilities
2024-07-03,2024-07,Amex Joint JulyOctober,J and R Kiosk           London,-1.3,activities
2024-07-03,2024-07,Monzo Joint July,Nicholas Antoniade,-9.0,pay nicholas
2024-07-04,2024-07,Monzo Joint July,Monthly Money Pot,15.0,Nothing
2024-07-04,2024-07,Monzo Joint July,Monthly Money Pot,3093.42,Nothing
2024-07-04,2024-07,Amex Joint JulyOctober,SUMUP*NKORA LIMITED     ST ALBANS,-3.5,Shopping
2024-07-04,2024-07,Amex Joint JulyOctober,SUMUP*NKORA LIMITED     ST ALBANS,-3.6,Shopping
2024-07-04,2024-07,Amex Joint JulyOctober,ZETTLE *CHIRIAC MUSIC   LONDON,-5.0,Shopping
2024-07-04,2024-07,Monzo Joint July,EE TOPUP  VESTA        EE.CO.UK      GBR,-15.0,Subscriptions
2024-07-04,2024-07,Amex Joint JulyOctober,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,-7.4,Transportation
2024-07-04,2024-07,Monzo Nicholas Flex JulyOctober,The Woodman            London        GBR,-22.1,activities
2024-07-04,2024-07,Monzo Joint July,AMERICAN EXP 3773,-3093.42,credit card
2024-07-04,2024-07,Amex Joint JulyOctober,PAYMENT RECEIVED - THANK YOU,3093.42,credit card
2024-07-05,2024-07,Amex Joint JulyOctober,AIRBNB * HM9FKFHKXQ     LONDON,-204.88,Holiday
2024-07-05,2024-07,Monzo Joint July,Monthly Money Pot,15.0,Nothing
2024-07-05,2024-07,Amex Joint JulyOctober,W H SMITH               GATWICK,-12.76,Shopping
2024-07-05,2024-07,Monzo Joint July,EE TOPUP  VESTA        EE.CO.UK      GBR,-15.0,Subscriptions
2024-07-05,2024-07,Amex Joint JulyOctober,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,-3.0,Transportation
2024-07-05,2024-07,Amex Joint JulyOctober,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,-8.5,Transportation
2024-07-05,2024-07,Amex Joint JulyOctober,TRAINLINE trainline     LONDON,-9.1,Transportation
2024-07-05,2024-07,Amex Joint JulyOctober,3CPAYMENT*PRET A MANGER LONDON,-5.99,activities
2024-07-05,2024-07,Amex Joint JulyOctober,SAINSBURY'S             LONDON,-2.0,groceries
2024-07-06,2024-07,Monzo Joint July,Monthly Money Pot,20.0,Nothing
2024-07-06,2024-07,Monzo Joint July,Monthly Money Pot,160.0,Nothing
2024-07-06,2024-07,Monzo Joint July,Monthly Money Pot,12.0,Nothing
2024-07-06,2024-07,Amex Joint JulyOctober,ZETTLE *TURNING EARTH C LONDON,-15.0,Shopping
2024-07-06,2024-07,Amex Joint JulyOctober,GETT LONDON             London,-23.79,Transportation
2024-07-06,2024-07,Monzo Joint July,Plateia Agiou Lazarou  Larnaka       CYP,0.0,activities
2024-07-06,2024-07,Monzo Joint July,Plateia Agiou Lazarou  Larnaka       CYP,-23.09,activities
2024-07-06,2024-07,Amex Joint JulyOctober,CAFFE NERO FINIKOUDES   .,-9.35,activities
2024-07-06,2024-07,Amex Joint JulyOctober,GAIL'S SOHO             LONDON,-8.6,activities
2024-07-06,2024-07,Monzo Nicholas Flex JulyOctober,Gate Retail Wizz GBP   Ashford       GBR,-18.5,activities
2024-07-06,2024-07,Monzo Nicholas Flex JulyOctober,BUS STOP KIOSK         LARNACA       CYP,-1.78,activities
2024-07-06,2024-07,Monzo Nicholas Flex JulyOctober,TAVERNA OUZERI EFRAIM  PAPHOS        CYP,-29.68,activities
2024-07-06,2024-07,Monzo Nicholas Flex JulyOctober,PERIPTERO MARIA THANOU LARNACA       CYP,-1.7,activities
2024-07-06,2024-07,Monzo Nicholas Flex JulyOctober,PERIPTERO MARIA THANOU LARNACA       CYP,-0.85,activities
2024-07-06,2024-07,Monzo Nicholas Flex JulyOctober,CAFFE NERO FINIKOUDES  LARNACA       CYP,-6.36,activities
2024-07-06,2024-07,Monzo Nicholas Flex JulyOctober,GYR EVONTAS ELLADA     LARNACA       CYP,-15.22,activities
2024-07-06,2024-07,Monzo Nicholas Flex JulyOctober,GYR EVONTAS ELLADA     LARNACA       CYP,-0.68,activities
2024-07-06,2024-07,Monzo Joint July,Lara Antoniades,-160.0,pay lara
2024-07-06,2024-07,Monzo Joint July,Lara Antoniades,-5.0,pay lara
2024-07-07,2024-07,Monzo Joint July,Monthly Money Pot,30.0,Nothing
2024-07-07,2024-07,Monzo Lara Flex July,MGP*Vinted             London        GBR,-0.1,Shopping
2024-07-07,2024-07,Monzo Lara Flex July,MGP*Vinted             London        GBR,0.1,Shopping
2024-07-07,2024-07,Monzo Lara Flex July,Vinted,-12.0,Shopping
2024-07-07,2024-07,Monzo Nicholas Flex JulyOctober,EURO PHARMACY          FAMAGUSTA     CYP,-13.55,Toiletries
2024-07-07,2024-07,Amex Joint JulyOctober,CAFFE NERO FINIKOUDES   .,-10.13,activities
2024-07-07,2024-07,Monzo Nicholas Flex JulyOctober,CHRIS EXPRESS          FAMAGUSTA     CYP,-0.85,activities
2024-07-07,2024-07,Monzo Nicholas Flex JulyOctober,OCEAN BASKET (AGIA NAP AMMOCHOSTOS   CYP,-38.16,activities
2024-07-07,2024-07,Monzo Nicholas Flex JulyOctober,ENJOY KIOSK FINIKOUDES LARNACA       CYP,-1.19,activities
2024-07-07,2024-07,Monzo Nicholas Flex JulyOctober,Jiovanis Mini Market   Larnaka       CYP,-4.58,groceries
2024-07-07,2024-07,Monzo Nicholas Flex JulyOctober,Jiovanis Mini Market   Larnaka       CYP,-3.99,groceries
2024-07-07,2024-07,Monzo Joint July,Lara Antoniades,-30.0,pay lara
2024-07-07,2024-07,Monzo Joint July,Lara Antoniades,-12.0,pay lara
2024-07-08,2024-07,Monzo Lara Flex July,Vinted,-142.39,Shopping
2024-07-08,2024-07,Monzo Lara Flex July,MGP*Vinted             London        GBR,-173.89,Shopping
2024-07-08,2024-07,Monzo Lara Flex July,MGP*Vinted             London        GBR,-8.85,Shopping
2024-07-08,2024-07,Monzo Lara Flex July,MGP*Vinted             London        GBR,-24.6,Shopping
2024-07-08,2024-07,Amex Joint JulyOctober,AMZNMKTPLACE*Q189V2NB5  AMAZON.CO.UK,-31.55,Shopping
2024-07-08,2024-07,Amex Joint JulyOctober,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,-7.9,Transportation
2024-07-08,2024-07,Amex Joint JulyOctober,TRAINLINE trainline     LONDON,-12.1,Transportation
2024-07-08,2024-07,Monzo Joint July,Boost,-6.0,Uncategorized
2024-07-08,2024-07,Amex Joint JulyOctober,3CPAYMENT*PRET A MANGER LONDON,-5.99,activities
2024-07-08,2024-07,Monzo Nicholas Flex JulyOctober,FOOD VILLAGE LCA AIRPO LARNACA       CYP,-8.23,activities
2024-07-08,2024-07,Amex Joint JulyOctober,PAYMENT RECEIVED - THANK YOU,200.0,credit card
2024-07-08,2024-07,Monzo Joint July,Lara Antoniades,6.0,pay lara
2024-07-09,2024-07,Monzo Nicholas Flex JulyOctober,Flex,484.02,Nothing
2024-07-09,2024-07,Monzo Lara Flex July,MGP-VINTED\109 Kesperry House\London\SE13XB       GBR,142.39,Shopping
2024-07-09,2024-07,Monzo Lara Flex July,MGP*Vinted             London        GBR,-25.65,Shopping
2024-07-09,2024-07,Monzo Lara Flex July,MGP*Vinted             London        GBR,-27.32,Shopping
2024-07-09,2024-07,Amex Joint JulyOctober,ORDER 69205996 17205415 720541544975,-70.0,Shopping
2024-07-09,2024-07,Monzo Nicholas Flex JulyOctober,BATH POTTERS SUPPLIES\18 FORTH AVENUE\RADSTOCK\BA3 4XE   GBRGBR,20.44,Shopping
2024-07-09,2024-07,Amex Joint JulyOctober,"DISNEY PLUS             HAMMERSMITH, LO",-7.99,Subscriptions
2024-07-09,2024-07,Amex Joint JulyOctober,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,-7.4,Transportation
2024-07-09,2024-07,Amex Joint JulyOctober,3CPAYMENT*PRET A MANGER LONDON,-5.5,activities
2024-07-09,2024-07,Amex Joint JulyOctober,SAINSBURY'S SPRMRKTS LT LONDON,-1.2,groceries
2024-07-09,2024-07,Amex Joint JulyOctober,WAITROSE CROUCH END     CROUCH END,-18.47,groceries
2024-07-10,2024-07,Amex Joint JulyOctober,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,-3.7,Transportation
2024-07-10,2024-07,Amex Joint JulyOctober,J and R Kiosk           London,-1.3,activities
2024-07-10,2024-07,Amex Joint JulyOctober,SAINSBURYS ONLINE       LONDON,-97.56,groceries
2024-07-11,2024-07,Amex Joint JulyOctober,SUMUP*NKORA LIMITED     ST ALBANS,-4.0,Shopping
2024-07-11,2024-07,Amex Joint JulyOctober,LIME*PASS               LONDON,-36.99,Transportation
2024-07-11,2024-07,Amex Joint JulyOctober,LIME*RIDE               LONDON,-12.18,Transportation
2024-07-11,2024-07,Amex Joint JulyOctober,3CPAYMENT*PRET A MANGER LONDON,-3.8,activities
2024-07-12,2024-07,Amex Joint JulyOctober,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,-1.9,Transportation
2024-07-12,2024-07,Amex Joint JulyOctober,J and R Kiosk           London,-2.3,activities
2024-07-12,2024-07,Amex Joint JulyOctober,J and R Kiosk           London,-3.5,activities
2024-07-12,2024-07,Amex Joint JulyOctober,POPHAMS HACKNEY         London,-3.8,activities
2024-07-12,2024-07,Amex Joint JulyOctober,M&S CROUCH END SIMPLY F LONDON,-58.95,groceries
2024-07-13,2024-07,Amex Joint JulyOctober,ZETTLE *TURNING EARTH C LONDON,-18.0,Shopping
2024-07-14,2024-07,Amex Joint JulyOctober,AIRBNB * HM9CMRJQYE     LONDON,-325.35,Holiday
2024-07-14,2024-07,Amex Joint JulyOctober,LIME*PASS               LONDON,-36.99,Transportation
2024-07-14,2024-07,Amex Joint JulyOctober,LIME*RIDE               LONDON,-0.57,Transportation
2024-07-14,2024-07,Amex Joint JulyOctober,GAIL'S CROUCH END       LONDON,-15.05,activities
2024-07-15,2024-07,Monzo Joint July,Emergency Savings Pot,500.0,Nothing
2024-07-15,2024-07,Monzo Lara Flex July,Wetransfer,-11.0,Shopping
2024-07-15,2024-07,Amex Joint JulyOctober,SAINSBURY'S SPRMRKTS LT LONDON,-4.2,groceries
2024-07-16,2024-07,Monzo Joint July,CONNOLLY RETAIL LT,11.0,Income
2024-07-16,2024-07,Amex Joint JulyOctober,SIDNEY ROSE             LONDON,-2.4,Shopping
2024-07-16,2024-07,Monzo Joint July,"Adobe.com              Saggart, Dubl IRL",-19.97,Subscriptions
2024-07-16,2024-07,Monzo Joint July,APPLE.COM/BILL         APPLE.COM/BIL IRL,-8.99,Subscriptions
