Month,Category,Amount
2024-08,Entertainment,-130.97
2024-10,Entertainment,-52.25
2024-07,Holiday,-262.25
2024-10,Holiday,-128.90
2024-07,Income,5621.23
2024-08,Income,5621.03
2024-09,Income,5621.23
2024-10,Income,1766.91
2024-08,Miscellaneous,-58.74
2024-07,Rent,-2100.00
2024-08,Rent,-2100.00
2024-09,Rent,-4200.00
2024-07,Shopping,-1114.19
2024-08,Shopping,-1802.02
2024-09,Shopping,1380.84
2024-10,Shopping,-632.94
2024-07,Subscriptions,-617.53
2024-08,Subscriptions,-623.94
2024-09,Subscriptions,-615.48
2024-10,Subscriptions,-637.06
2024-07,Toiletries,-13.55
2024-08,Toiletries,-39.99
2024-09,Toiletries,-123.00
2024-10,Toiletries,-268.25
2024-07,Transportation,-454.25
2024-08,Transportation,-480.49
2024-09,Transportation,-560.71
2024-10,Transportation,-312.95
2024-07,Uncategorized,-181.84
2024-08,Uncategorized,-139.99
2024-09,Uncategorized,-16.94
2024-10,Uncategorized,-344.52
2024-07,Utilities,-47.28
2024-08,Utilities,-308.13
2024-09,Utilities,-720.50
2024-10,Utilities,-10.00
2024-07,activities,-375.26
2024-08,activities,-1065.26
2024-09,activities,-354.88
2024-10,activities,-320.07
2024-07,credit card,744.00
2024-08,credit card,0.00
2024-09,credit card,0.00
2024-07,groceries,-429.91
2024-08,groceries,-825.71
2024-09,groceries,-477.64
2024-10,groceries,-516.50
2024-07,pay nicholas,-9.00
2024-09,pay nicholas,-600.00
2024-07,subscriptions,-75.47
2024-08,subscriptions,-57.98
2024-09,subscriptions,-57.97
2024-10,subscriptions,-44.96
