Date,Month,FileOrigin,Description,Amount,Category
2024-07-06,2024-07,Monzo Nicholas Flex JulyOctober,GYR EVONTAS ELLADA     LARNACA       CYP,-0.68,eating_out
2024-07-07,2024-07,Monzo Joint July,Savings,30.00,Moving Money
2024-07-07,2024-07,Monzo Nicholas Flex JulyOctober,EURO PHARMACY          FAMAGUSTA     CYP,-13.55,Personal Care
2024-07-07,2024-07,Monzo Lara Flex July,MGP*Vinted             London        GBR,-0.10,Shopping
2024-07-07,2024-07,Monzo Lara Flex July,MGP*Vinted             London        GBR,0.10,Shopping
2024-07-07,2024-07,Monzo Lara Flex July,MGP*Vinted 99917365    London        GBR,-12.00,Shopping
2024-07-07,2024-07,Monzo Joint July,Transfers,-30.00,Transfers
2024-07-07,2024-07,Monzo Joint July,Transfers,-12.00,Transfers
2024-07-07,2024-07,Amex Joint JulyOctober,CAFFE NERO FINIKOUDES   .,10.13,eating_out
2024-07-07,2024-07,Monzo Nicholas Flex JulyOctober,CHRIS EXPRESS          FAMAGUSTA     CYP,-0.85,eating_out
2024-07-07,2024-07,Monzo Nicholas Flex JulyOctober,OCEAN BASKET (AGIA NAP AMMOCHOSTOS   CYP,-38.16,eating_out
2024-07-07,2024-07,Monzo Nicholas Flex JulyOctober,ENJOY KIOSK FINIKOUDES LARNACA       CYP,-1.19,eating_out
2024-07-07,2024-07,Monzo Nicholas Flex JulyOctober,Jiovanis Mini Market   Larnaka       CYP,-4.58,eating_out
2024-07-07,2024-07,Monzo Nicholas Flex JulyOctober,Jiovanis Mini Market   Larnaka       CYP,-3.99,eating_out
2024-07-08,2024-07,Monzo Lara Flex July,MGP*Vinted 99966429    London        GBR,-142.39,Shopping
2024-07-08,2024-07,Monzo Lara Flex July,MGP*Vinted             London        GBR,-173.89,Shopping
2024-07-08,2024-07,Monzo Lara Flex July,MGP*Vinted             London        GBR,-8.85,Shopping
2024-07-08,2024-07,Monzo Lara Flex July,MGP*Vinted             London        GBR,-24.60,Shopping
2024-07-08,2024-07,Amex Joint JulyOctober,AMZNMKTPLACE*Q189V2NB5  AMAZON.CO.UK,31.55,Shopping
2024-07-08,2024-07,Amex Joint JulyOctober,PAYMENT RECEIVED - THANK YOU,-200.00,Shopping
2024-07-08,2024-07,Monzo Joint July,Transfers,6.00,Transfers
2024-07-08,2024-07,Amex Joint JulyOctober,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,7.90,Transportation
2024-07-08,2024-07,Amex Joint JulyOctober,TRAINLINE trainline     LONDON,12.10,Transportation
2024-07-08,2024-07,Monzo Joint July,Boost,-6.00,Utilities & Bills
2024-07-08,2024-07,Amex Joint JulyOctober,3CPAYMENT*PRET A MANGER LONDON,5.99,eating_out
2024-07-08,2024-07,Monzo Nicholas Flex JulyOctober,FOOD VILLAGE LCA AIRPO LARNACA       CYP,-8.23,eating_out
2024-07-09,2024-07,Monzo Lara Flex July,MGP-VINTED\109 Kesperry House\London\SE13XB       GBR,142.39,Shopping
2024-07-09,2024-07,Monzo Lara Flex July,MGP*Vinted             London        GBR,-25.65,Shopping
2024-07-09,2024-07,Monzo Lara Flex July,MGP*Vinted             London        GBR,-27.32,Shopping
2024-07-09,2024-07,Monzo Nicholas Flex JulyOctober,BATH POTTERS SUPPLIES\18 FORTH AVENUE\RADSTOCK\BA3 4XE   GBRGBR,20.44,Shopping
2024-07-09,2024-07,Amex Joint JulyOctober,"DISNEY PLUS             HAMMERSMITH, LO",7.99,Subscriptions
2024-07-09,2024-07,Amex Joint JulyOctober,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,7.40,Transportation
2024-07-09,2024-07,Amex Joint JulyOctober,ORDER 69205996 17205415 720541544975,70.00,Uncategorized
2024-07-09,2024-07,Monzo Nicholas Flex JulyOctober,Flex,484.02,Utilities & Bills
2024-07-09,2024-07,Amex Joint JulyOctober,3CPAYMENT*PRET A MANGER LONDON,5.50,eating_out
2024-07-09,2024-07,Amex Joint JulyOctober,SAINSBURY'S SPRMRKTS LT LONDON,1.20,groceries
2024-07-09,2024-07,Amex Joint JulyOctober,WAITROSE CROUCH END     CROUCH END,18.47,groceries
2024-07-10,2024-07,Amex Joint JulyOctober,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.70,Transportation
2024-07-10,2024-07,Amex Joint JulyOctober,J and R Kiosk           London,1.30,eating_out
2024-07-10,2024-07,Amex Joint JulyOctober,SAINSBURYS ONLINE       LONDON,97.56,groceries
2024-07-11,2024-07,Amex Joint JulyOctober,SUMUP*NKORA LIMITED     ST ALBANS,4.00,Shopping
2024-07-11,2024-07,Amex Joint JulyOctober,LIME*PASS               LONDON,36.99,Transportation
2024-07-11,2024-07,Amex Joint JulyOctober,LIME*RIDE               LONDON,12.18,Transportation
2024-07-11,2024-07,Amex Joint JulyOctober,3CPAYMENT*PRET A MANGER LONDON,3.80,eating_out
2024-07-12,2024-07,Amex Joint JulyOctober,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,1.90,Transportation
2024-07-12,2024-07,Amex Joint JulyOctober,J and R Kiosk           London,2.30,eating_out
2024-07-12,2024-07,Amex Joint JulyOctober,J and R Kiosk           London,3.50,eating_out
2024-07-12,2024-07,Amex Joint JulyOctober,POPHAMS HACKNEY         London,3.80,eating_out
2024-07-12,2024-07,Amex Joint JulyOctober,M&S CROUCH END SIMPLY F LONDON,58.95,groceries
