Week,Category,Amount
2024-09-09,Activities,-57.68
2024-09-09,Groceries,-165.63
2024-09-09,Pay Nicholas,303.18
2024-09-09,Rent,-2100.00
2024-09-09,Shopping,1903.46
2024-09-09,Subscriptions,-30.42
2024-09-09,Transportation,-135.91
2024-09-09,Uncategorized,-3.50
2024-09-09,Utilities,-571.00
2024-09-09,Total,-857.50
