Week,Category,Amount
2024-10-14,Activities,-52.39
2024-10-14,Groceries,-159.21
2024-10-14,Pay Amy,-3.00
2024-10-14,Shopping,-228.85
2024-10-14,Subscriptions,-51.94
2024-10-14,Transportation,-64.11
2024-10-14,Uncategorized,1.00
2024-10-14,Utilities,-10.00
2024-10-14,Total,-568.50
