Week,Category,Amount
2024-09-02,Activities,-51.25
2024-09-02,Groceries,-123.11
2024-09-02,Pay Nicholas,-40.00
2024-09-02,Refunds,239.35
2024-09-02,Shopping,-42.46
2024-09-02,Subscriptions,-18.83
2024-09-02,Transportation,-125.82
2024-09-02,Total,-162.12
