Week,Category,Amount
2024-08-19,Activities,-155.16
2024-08-19,Entertainment,-106.99
2024-08-19,Groceries,-244.10
2024-08-19,Income,1766.71
2024-08-19,Pay Lara,1.00
2024-08-19,Shopping,-637.69
2024-08-19,Subscriptions,-527.96
2024-08-19,Transportation,-18.90
2024-08-19,Total,76.91
