Week,Category,Amount
2024-08-26,Activities,-193.98
2024-08-26,Groceries,-140.99
2024-08-26,Income,3854.32
2024-08-26,Pay Lara,-400.00
2024-08-26,Pay Nicholas,-744.00
2024-08-26,Shopping,-495.99
2024-08-26,Subscriptions,-69.55
2024-08-26,Toiletries,-123.00
2024-08-26,Transportation,-142.30
2024-08-26,Utilities,-89.14
2024-08-26,Total,1455.37
