Week,Category,Amount
2024-09-16,Activities,-75.60
2024-09-16,Groceries,-31.45
2024-09-16,Income,-395.00
2024-09-16,Shopping,-25.17
2024-09-16,Subscriptions,-48.96
2024-09-16,Transportation,-105.24
2024-09-16,Utilities,-65.16
2024-09-16,Total,-746.58
