Month,Category,Amount
2024-08,Activities,-1007.87
2024-08,Entertainment,-130.97
2024-08,Groceries,-825.71
2024-08,Income,5621.03
2024-08,Miscellaneous,-61.64
2024-08,Pay Aletta,-25.00
2024-08,Pay Lara,-399.00
2024-08,Pay Nicholas,-892.00
2024-08,Rent,-2100.00
2024-08,Shopping,-1964.74
2024-08,Subscriptions,-672.93
2024-08,Toiletries,-39.99
2024-08,Transportation,-477.59
2024-08,Uncategorized,-18.65
2024-08,Utilities,-308.13
2024-08,Total,-3303.19
