Week,Category,Amount
2024-09-30,Activities,-24.10
2024-09-30,Admin,-78.00
2024-09-30,Entertainment,-52.25
2024-09-30,Groceries,-62.63
2024-09-30,Holiday,-128.90
2024-09-30,Pay Nicholas,-85.00
2024-09-30,Shopping,-239.77
2024-09-30,Subscriptions,-80.27
2024-09-30,Transportation,-21.85
2024-09-30,Uncategorized,-1.00
2024-09-30,Utilities,-163.45
2024-09-30,Total,-937.22
