Month,Category,Amount
2024-07,Activities,-375.26
2024-07,Credit card,744.00
2024-07,Groceries,-429.91
2024-07,Holiday,-367.81
2024-07,Income,5632.23
2024-07,Pay Lara,-393.00
2024-07,Pay Nicholas,-94.00
2024-07,Rent,-2100.00
2024-07,Shopping,-1199.68
2024-07,Subscriptions,-688.51
2024-07,Toiletries,-13.55
2024-07,Transportation,-454.25
2024-07,Uncategorized,-6.00
2024-07,Utilities,-47.56
2024-07,Total,206.70
