Week,Category,Amount
2024-08-12,Activities,-143.89
2024-08-12,Entertainment,-23.98
2024-08-12,Groceries,-320.01
2024-08-12,Miscellaneous,-60.64
2024-08-12,Pay Nicholas,-148.00
2024-08-12,Shopping,-226.66
2024-08-12,Subscriptions,-47.98
2024-08-12,Toiletries,-36.49
2024-08-12,Transportation,-151.36
2024-08-12,Uncategorized,-18.65
2024-08-12,Utilities,-9.50
2024-08-12,Total,-1187.16
