Week,Category,Amount
2024-09-23,Activities,-83.20
2024-09-23,Groceries,-152.90
2024-09-23,Income,5861.23
2024-09-23,Pay Lara,-300.00
2024-09-23,Pay Nicholas,-761.04
2024-09-23,Rent,-2100.00
2024-09-23,Shopping,-168.03
2024-09-23,Subscriptions,-518.08
2024-09-23,Transportation,-162.78
2024-09-23,Utilities,-65.89
2024-09-23,Total,1549.31
