Week,Category,Amount
2024-07-15,Activities,-9.15
2024-07-15,Groceries,-90.74
2024-07-15,Income,11.00
2024-07-15,Shopping,-183.57
2024-07-15,Subscriptions,-62.45
2024-07-15,Transportation,-18.50
2024-07-15,Total,-353.41
