Week,Category,Amount
2024-10-07,Activities,-64.43
2024-10-07,Groceries,-299.21
2024-10-07,Shopping,-275.23
2024-10-07,Subscriptions,-66.98
2024-10-07,Transportation,-121.86
2024-10-07,Total,-827.71
