Week,Category,Amount
2024-07-22,Activities,-116.12
2024-07-22,Credit card,218.00
2024-07-22,Groceries,-104.36
2024-07-22,Holiday,373.24
2024-07-22,Income,1766.91
2024-07-22,Pay Lara,-192.00
2024-07-22,Shopping,-242.87
2024-07-22,Subscriptions,-498.98
2024-07-22,Transportation,-120.35
2024-07-22,Utilities,-0.28
2024-07-22,Total,1083.19
