Week,Category,Amount
2024-07-01,Activities,-200.52
2024-07-01,Groceries,-17.27
2024-07-01,Holiday,-310.44
2024-07-01,Pay Lara,-207.00
2024-07-01,Pay Nicholas,-84.00
2024-07-01,Rent,-2100.00
2024-07-01,Shopping,-302.37
2024-07-01,Subscriptions,-69.58
2024-07-01,Toiletries,-13.55
2024-07-01,Transportation,-92.78
2024-07-01,Utilities,-28.83
2024-07-01,Total,-3426.34
