Week,Category,Amount
2024-08-05,Activities,-545.24
2024-08-05,Groceries,-117.73
2024-08-05,Pay Aletta,-25.00
2024-08-05,Shopping,-468.93
2024-08-05,Subscriptions,-27.98
2024-08-05,Transportation,-119.33
2024-08-05,Utilities,-28.83
2024-08-05,Total,-1333.04
