Month,Category,Amount
2024-09,Activities,-354.88
2024-09,Groceries,-477.64
2024-09,Income,5466.23
2024-09,Pay Lara,-300.00
2024-09,Pay Nicholas,-497.86
2024-09,Refunds,239.35
2024-09,Rent,-4200.00
2024-09,Shopping,1287.50
2024-09,Subscriptions,-677.90
2024-09,Toiletries,-123.00
2024-09,Transportation,-560.71
2024-09,Uncategorized,-3.50
2024-09,Utilities,-720.50
2024-09,Total,-922.91
