Week,Category,Amount
2024-07-08,Activities,-49.47
2024-07-08,Credit card,200.00
2024-07-08,Groceries,-176.18
2024-07-08,Holiday,-325.35
2024-07-08,Pay Lara,6.00
2024-07-08,Shopping,-363.42
2024-07-08,Subscriptions,-7.99
2024-07-08,Transportation,-119.73
2024-07-08,Uncategorized,-6.00
2024-07-08,Total,-842.14
